epoch,GRU-HN_loss,GRU-HN_log_likelihood,LSTM-HN_loss,LSTM-HN_log_likelihood
0.000000,7645.367676,-7645.367676,5173.854980,-5173.854980
1.000000,7628.001465,-7628.001465,5152.278809,-5152.278809
2.000000,7610.695312,-7610.695312,5130.746094,-5130.746094
3.000000,7593.450195,-7593.450195,5109.258301,-5109.258301
4.000000,7576.266113,-7576.266113,5087.811523,-5087.811523
5.000000,7559.140625,-7559.140625,5066.410156,-5066.410156
6.000000,7542.075684,-7542.075684,5045.050781,-5045.050781
7.000000,7525.071289,-7525.071289,5023.734375,-5023.734375
8.000000,7508.125977,-7508.125977,5002.459961,-5002.459961
9.000000,7491.240234,-7491.240234,4981.228516,-4981.228516
10.000000,7474.413574,-7474.413574,4960.038086,-4960.038086
11.000000,7457.646484,-7457.646484,4938.890625,-4938.890625
12.000000,7440.937988,-7440.937988,4917.785156,-4917.785156
13.000000,7424.287109,-7424.287109,4896.721680,-4896.721680
14.000000,7407.696289,-7407.696289,4875.698242,-4875.698242
15.000000,7391.163574,-7391.163574,4854.716309,-4854.716309
16.000000,7374.687500,-7374.687500,4833.775391,-4833.775391
17.000000,7358.271484,-7358.271484,4812.875000,-4812.875000
18.000000,7341.913086,-7341.913086,4792.015137,-4792.015137
19.000000,7325.611816,-7325.611816,4771.196289,-4771.196289
20.000000,7309.369141,-7309.369141,4750.416992,-4750.416992
21.000000,7293.183594,-7293.183594,4729.678223,-4729.678223
22.000000,7277.056152,-7277.056152,4708.979004,-4708.979004
23.000000,7260.984863,-7260.984863,4688.319336,-4688.319336
24.000000,7244.971191,-7244.971191,4667.699707,-4667.699707
25.000000,7229.014160,-7229.014160,4647.120117,-4647.120117
26.000000,7213.113281,-7213.113281,4626.578125,-4626.578125
27.000000,7197.270508,-7197.270508,4606.077148,-4606.077148
28.000000,7181.482422,-7181.482422,4585.614258,-4585.614258
29.000000,7165.751953,-7165.751953,4565.190918,-4565.190918
30.000000,7150.078125,-7150.078125,4544.806152,-4544.806152
31.000000,7134.459473,-7134.459473,4524.459961,-4524.459961
32.000000,7118.896484,-7118.896484,4504.153320,-4504.153320
33.000000,7103.390137,-7103.390137,4483.885254,-4483.885254
34.000000,7087.940430,-7087.940430,4463.654785,-4463.654785
35.000000,7072.545410,-7072.545410,4443.462891,-4443.462891
36.000000,7057.206055,-7057.206055,4423.308594,-4423.308594
37.000000,7041.920898,-7041.920898,4403.194336,-4403.194336
38.000000,7026.691406,-7026.691406,4383.116699,-4383.116699
39.000000,7011.517578,-7011.517578,4363.078125,-4363.078125
40.000000,6996.398926,-6996.398926,4343.076660,-4343.076660
41.000000,6981.335449,-6981.335449,4323.113281,-4323.113281
42.000000,6966.326172,-6966.326172,4303.188477,-4303.188477
43.000000,6951.371094,-6951.371094,4283.300293,-4283.300293
44.000000,6936.469727,-6936.469727,4263.450684,-4263.450684
45.000000,6921.623535,-6921.623535,4243.637695,-4243.637695
46.000000,6906.832031,-6906.832031,4223.863281,-4223.863281
47.000000,6892.094238,-6892.094238,4204.126953,-4204.126953
48.000000,6877.410645,-6877.410645,4184.426758,-4184.426758
49.000000,6862.779785,-6862.779785,4164.764160,-4164.764160
50.000000,6848.204102,-6848.204102,4145.139648,-4145.139648
51.000000,6833.682129,-6833.682129,4125.551758,-4125.551758
52.000000,6819.211914,-6819.211914,4106.002930,-4106.002930
53.000000,6804.796875,-6804.796875,4086.489258,-4086.489258
54.000000,6790.432617,-6790.432617,4067.015137,-4067.015137
55.000000,6776.124023,-6776.124023,4047.576660,-4047.576660
56.000000,6761.867188,-6761.867188,4028.175293,-4028.175293
57.000000,6747.663086,-6747.663086,4008.811523,-4008.811523
58.000000,6733.511230,-6733.511230,3989.485107,-3989.485107
59.000000,6719.413086,-6719.413086,3970.195801,-3970.195801
60.000000,6705.365723,-6705.365723,3950.942871,-3950.942871
61.000000,6691.372070,-6691.372070,3931.727783,-3931.727783
62.000000,6677.429688,-6677.429688,3912.549316,-3912.549316
63.000000,6663.540039,-6663.540039,3893.407471,-3893.407471
64.000000,6649.702148,-6649.702148,3874.302979,-3874.302979
65.000000,6635.916504,-6635.916504,3855.235840,-3855.235840
66.000000,6622.181641,-6622.181641,3836.205078,-3836.205078
67.000000,6608.498047,-6608.498047,3817.211426,-3817.211426
68.000000,6594.866699,-6594.866699,3798.255371,-3798.255371
69.000000,6581.286133,-6581.286133,3779.334961,-3779.334961
70.000000,6567.755859,-6567.755859,3760.452393,-3760.452393
71.000000,6554.277832,-6554.277832,3741.605957,-3741.605957
72.000000,6540.848633,-6540.848633,3722.796631,-3722.796631
73.000000,6527.471680,-6527.471680,3704.023682,-3704.023682
74.000000,6514.144531,-6514.144531,3685.288574,-3685.288574
75.000000,6500.869141,-6500.869141,3666.589600,-3666.589600
76.000000,6487.643066,-6487.643066,3647.927490,-3647.927490
77.000000,6474.466309,-6474.466309,3629.302734,-3629.302734
78.000000,6461.340820,-6461.340820,3610.714355,-3610.714355
79.000000,6448.264648,-6448.264648,3592.162598,-3592.162598
80.000000,6435.238281,-6435.238281,3573.647461,-3573.647461
81.000000,6422.260742,-6422.260742,3555.168945,-3555.168945
82.000000,6409.333008,-6409.333008,3536.727783,-3536.727783
83.000000,6396.454102,-6396.454102,3518.322754,-3518.322754
84.000000,6383.625000,-6383.625000,3499.954834,-3499.954834
85.000000,6370.844727,-6370.844727,3481.623291,-3481.623291
86.000000,6358.113281,-6358.113281,3463.329102,-3463.329102
87.000000,6345.430664,-6345.430664,3445.071289,-3445.071289
88.000000,6332.796875,-6332.796875,3426.850586,-3426.850586
89.000000,6320.210938,-6320.210938,3408.665771,-3408.665771
90.000000,6307.671875,-6307.671875,3390.518555,-3390.518555
91.000000,6295.182617,-6295.182617,3372.407471,-3372.407471
